Group	LibSize
1	Group1	8924881.77917551
2	Group1	11114054.1121215
3	Group1	7897770.09332066
4	Group1	8068987.2444005
5	Group1	16784023.2962542
6	Group1	8724913.68817988
7	Group1	9155283.78577603
8	Group1	8779692.05893521
9	Group1	9507098.15655145
10	Group1	10347804.0612783
11	Group1	9319455.3065631
12	Group1	6595061.13883041
13	Group1	7408061.82076991
14	Group1	14210470.6700062
15	Group1	8521158.30625013
16	Group1	11826629.4553049
17	Group1	9511516.19091043
18	Group1	12877616.2294553
19	Group1	6447152.19086094
20	Group1	10469553.8642462
21	Group1	9858849.44765613
22	Group1	9597207.73788474
23	Group1	5749642.28429934
24	Group1	9223240.96530793
25	Group1	6820404.79900678
26	Group1	8148378.25149576
27	Group1	11154670.0587051
28	Group1	10754381.9197962
29	Group1	7822618.314629
30	Group1	7969223.01175479
31	Group1	9616273.05021743
32	Group1	10835395.2127178
33	Group1	11377091.7492191
34	Group1	10667692.7145732
35	Group1	9347001.84966958
36	Group1	11162971.0431938
37	Group1	9601958.12514161
38	Group1	14185552.5002571
39	Group1	11609586.9879566
40	Group1	5304010.33641197
41	Group1	10242355.9616869
42	Group1	6828105.05310023
43	Group1	6928999.47507143
44	Group1	16361429.5602125
45	Group1	8947908.17464259
46	Group1	10703103.115014
47	Group1	8838187.1595881
48	Group1	7310983.87360344
49	Group1	11124066.2860865
50	Group1	8737854.31525361
51	Group2	10358209.168841
52	Group2	9188376.86959473
53	Group2	17464972.5590584
54	Group2	6929884.27297578
55	Group2	12526655.2801188
56	Group2	8641060.76500096
57	Group2	6702249.31713324
58	Group2	11070968.5745971
59	Group2	8963643.3082264
60	Group2	10904017.2156002
61	Group2	10391352.317227
62	Group2	13228875.6217825
63	Group2	7687719.25705099
64	Group2	10122040.6359128
65	Group2	8765808.559263
66	Group2	8708184.13129336
67	Group2	11036717.9007062
68	Group2	10468794.5272733
69	Group2	9532417.57712566
70	Group2	12028764.2797336
71	Group2	12327291.9129576
72	Group2	7438040.35260866
73	Group2	6642664.24406812
74	Group2	8406936.83964115
75	Group2	8336860.28510995
76	Group2	9276978.50106436
77	Group2	8725653.76780548
78	Group2	9177468.66800807
79	Group2	10748668.2827133
80	Group2	10782413.136205
81	Group2	10752212.159154
82	Group2	13033110.2753028
83	Group2	9110724.56456798
84	Group2	11141191.5703256
85	Group2	8663519.4828774
86	Group2	8888451.1396006
87	Group2	13858393.9766799
88	Group2	7070279.93866509
89	Group2	12365261.715429
90	Group2	11212920.8303415
91	Group2	12181319.2292506
92	Group2	10884297.7840642
93	Group2	9823416.36536382
94	Group2	9067049.00072104
95	Group2	11054558.1218118
96	Group2	10800746.6534131
97	Group2	7033159.13478958
98	Group2	9965492.00079747
99	Group2	11077174.7262102
100	Group2	12968218.5061204
101	Group3	11388292.6979009
102	Group3	8831872.67195409
103	Group3	7736895.27584112
104	Group3	7683557.56194179
105	Group3	7942228.50057989
106	Group3	10822086.604187
107	Group3	9707068.68862874
108	Group3	7818987.71403659
109	Group3	6984558.41701546
110	Group3	6125990.66303387
111	Group3	9809637.29827007
112	Group3	9351210.65359356
113	Group3	10248706.816942
114	Group3	6520989.80832147
115	Group3	6002749.01099179
116	Group3	8879442.99343599
117	Group3	8762554.01382014
118	Group3	9284133.49981277
119	Group3	10439754.3967239
120	Group3	12659344.9544274
121	Group3	7633598.83177779
122	Group3	9223095.69971515
123	Group3	9979451.35561891
124	Group3	7325716.21458249
125	Group3	11900544.6459595
126	Group3	11545047.3816769
127	Group3	10060401.8945966
128	Group3	6335374.98692422
129	Group3	10836471.9355827
130	Group3	8214431.15151586
131	Group3	9135714.44160732
132	Group3	10152205.0553708
133	Group3	10090469.5852555
134	Group3	13443545.2190333
135	Group3	6675710.9992672
136	Group3	9557953.67245048
137	Group3	9497598.52279297
138	Group3	7598192.95711654
139	Group3	8309904.37239525
140	Group3	6591512.0783788
141	Group3	9705822.70469072
142	Group3	8533174.14453341
143	Group3	8425338.19418792
144	Group3	10693436.799286
145	Group3	8541816.9895889
146	Group3	9199631.57806986
147	Group3	10713233.5725477
148	Group3	13625917.5770978
149	Group3	9645544.84350708
150	Group3	7900355.28078085
151	Group3	8278483.80530102
152	Group3	8939744.92359714
153	Group3	10066802.6701045
154	Group3	9032495.83602556
155	Group3	8186106.49273651
156	Group3	8333541.40730715
157	Group3	8016960.42081592
158	Group3	8331977.45874616
159	Group3	8544401.10778992
160	Group3	12033872.7233064
161	Group3	7247071.08260796
162	Group3	8406340.80826893
163	Group3	11753153.3609899
164	Group3	12704479.3937544
165	Group3	11055000.1541248
166	Group3	12017475.0446085
167	Group3	8394974.4556024
168	Group3	7666220.72747634
169	Group3	5816593.64879115
170	Group3	8339945.566669
171	Group3	9793074.47978912
172	Group3	10298570.1068454
173	Group3	10470866.5329594
174	Group3	12199123.7148173
175	Group3	10204958.3472717
176	Group4	9620152.93544032
177	Group4	10149906.3137352
178	Group4	9860569.93017617
179	Group4	8039323.19411224
180	Group4	7026973.26356826
181	Group4	8337223.68053954
182	Group4	7829623.63261388
183	Group4	7661310.59745303
184	Group4	8937298.40399494
185	Group4	8958003.11400826
186	Group4	4482957.80269491
187	Group4	8505689.21745174
188	Group4	10121834.6294712
189	Group4	10201721.8252122
190	Group4	7005940.57759269
191	Group4	9193817.78453156
192	Group4	7452449.65759089
193	Group4	7486657.30032279
194	Group4	10091949.3508985
195	Group4	7120579.02535163
